bis_player_id,pick_round,pick_number,round_pick_number,rank,pick_value,signing_bonus,scouting_report,blurb,headshot_link,is_drafted,is_pass,year,home_city,home_state,home_country,school_name,school_school_class,school_country,school_state,school_city,person_id,person_full_name,person_link,person_first_name,person_last_name,person_primary_number,person_birth_date,person_current_age,person_birth_city,person_birth_state_province,person_birth_country,person_height,person_weight,person_active,person_use_name,person_use_last_name,person_middle_name,person_boxscore_name,person_gender,person_is_player,person_is_verified,person_draft_year,person_name_first_last,person_name_slug,person_first_last_name,person_last_first_name,person_last_init_name,person_init_last_name,person_full_fml_name,person_full_lfm_name,person_strike_zone_top,person_strike_zone_bottom,person_name_title,person_name_suffix,person_name_matrilineal,person_primary_position_code,person_primary_position_name,person_primary_position_type,person_primary_position_abbreviation,person_bat_side_code,person_bat_side_description,person_pitch_hand_code,person_pitch_hand_description,team_all_star_status,team_id,team_name,team_link,team_spring_league_id,team_spring_league_name,team_spring_league_link,team_spring_league_abbreviation,draft_type_code,draft_type_description,npl_name
5017783,16,470,4,NA,NA,100000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/701177/headshot/draft/current",TRUE,FALSE,2022,Suffern,New York,USA,Rutgers,4YR SR,USA,NJ,NA,701177,Nick Cimillo,/api/v1/people/701177,Nick,Cimillo,NA,2000-02-23,22,New York,NY,USA,"6' 2""",215,TRUE,Nick,Cimillo,William,Cimillo,M,TRUE,TRUE,2022,Nick Cimillo,nick-cimillo-701177,Nick Cimillo,"Cimillo, Nick","Cimillo, N",N Cimillo,Nicholas William Cimillo,"Cimillo, Nicholas William",3.467,1.589,NA,NA,NA,2,Catcher,Catcher,C,R,Right,R,Right,N,134,Pittsburgh Pirates,/api/v1/teams/134,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Cimillo, Nick"
5021156,16,471,5,NA,NA,125000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702686/headshot/draft/current",TRUE,FALSE,2022,Owings Mills,Maryland,USA,Pro5 Baseball Academy,HS SR,USA,NC,NA,702686,Everett Cooper III,/api/v1/people/702686,Everett,Cooper,NA,2003-07-31,19,Baltimore,MD,USA,"6' 1""",184,TRUE,Everett,Cooper III,Melvin,Cooper III,M,TRUE,TRUE,2022,Everett Cooper III,everett-cooper-iii-702686,Everett Cooper III,"Cooper III, Everett","Cooper III, E",E Cooper III,Everett Melvin Cooper III,"Cooper III, Everett Melvin",3.411,1.565,III,III,NA,6,Shortstop,Infielder,SS,S,Switch,R,Right,N,120,Washington Nationals,/api/v1/teams/120,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Cooper III, Everett"
5009771,16,472,6,NA,NA,100000,NA,"Roberts spent two years at Tennessee Tech before hitting over .300 in the Cape Cod League and transferring to Florida State. This spring with the Seminoles, he hit .300/.373/.461 with a knack for hard contact and driving the ball the other way. He has the chance to hit at the next level and has shown an ability to defend well wherever he’s placed, with the chance to stay on the dirt.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/689355/headshot/draft/current",TRUE,FALSE,2022,Lithia Springs,GA,USA,Florida State,4YR JR,USA,FL,NA,689355,Brett Roberts,/api/v1/people/689355,Brett,Roberts,NA,2001-03-12,21,Atlanta,GA,USA,"6' 0""",182,TRUE,Brett,Roberts,Anthony,Roberts,M,TRUE,TRUE,2022,Brett Roberts,brett-roberts-689355,Brett Roberts,"Roberts, Brett","Roberts, B",B Roberts,Brett Anthony Roberts,"Roberts, Brett Anthony",3.371,1.535,NA,NA,NA,6,Shortstop,Infielder,SS,R,Right,R,Right,N,146,Miami Marlins,/api/v1/teams/146,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Roberts, Brett"
5019504,16,473,7,NA,NA,125000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/702516/headshot/draft/current",TRUE,FALSE,2022,Marietta,Georgia,USA,Next Level Academy,HS SR,USA,AL,NA,702516,JP Wheat,/api/v1/people/702516,JP,Wheat,NA,2002-08-03,20,Bronxville,NY,USA,"6' 5""",185,TRUE,JP,Wheat,Sebastian,Wheat,M,TRUE,TRUE,2022,JP Wheat,jp-wheat-702516,JP Wheat,"Wheat, JP","Wheat, J",J Wheat,JonPaul Sebastian Wheat,"Wheat, JonPaul Sebastian",3.575,1.681,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,112,Chicago Cubs,/api/v1/teams/112,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Wheat, JP"
5020971,16,474,8,NA,NA,125000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/703638/headshot/draft/current",TRUE,FALSE,2022,Rio Grande,NA,PR,Academia Presbiteriana HS,HS SR,PR,NA,NA,703638,Jankel Ortiz,/api/v1/people/703638,Jankel,Ortiz,NA,2004-06-14,18,Rio Grande,NA,Puerto Rico,"6' 0""",170,TRUE,Jankel,Ortiz,Armando,Ortiz,M,TRUE,FALSE,2022,Jankel Ortiz,jankel-ortiz-703638,Jankel Ortiz,"Ortiz, Jankel","Ortiz, J",J Ortiz,Jankel Armando Ortiz,"Ortiz, Jankel Armando",3.371,1.535,NA,NA,NA,6,Shortstop,Infielder,SS,S,Switch,R,Right,N,142,Minnesota Twins,/api/v1/teams/142,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Ortiz, Jankel"
5019969,16,475,9,NA,NA,125000,NA,"Since heading to BYU in 2020, McKeehan has done nothing but pitch in relief. He’s always missed bats (13.9 K/9 in his career), but it wasn’t until '22 that he started having more consistent success, finishing with a 1.57 ERA and whiffing 16 per nine using a low-90s fastball that topped out at 93 mph and a power downer breaking ball, thrown around 80 mph, that missed a ton of bats. McKeehan got a lot of hitters to chase with that pitch, and he will have to improve his command (5.5 BB/9) at the next level, but he did help himself by throwing well in the Cape Cod League before the Draft.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/801479/headshot/draft/current",TRUE,FALSE,2022,Alpine,Utah,USA,BYU,4YR JR,USA,UT,NA,801479,Cooper McKeehan,/api/v1/people/801479,Cooper,McKeehan,NA,2001-03-28,21,Ann Arbor,MI,USA,"6' 1""",195,TRUE,Cooper,McKeehan,Patrick,McKeehan,M,TRUE,TRUE,2022,Cooper McKeehan,cooper-mckeehan-801479,Cooper McKeehan,"McKeehan, Cooper","McKeehan, C",C McKeehan,Cooper Patrick McKeehan,"McKeehan, Cooper Patrick",3.411,1.565,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,L,Left,N,118,Kansas City Royals,/api/v1/teams/118,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"McKeehan, Cooper"
780186,16,476,10,NA,NA,100000,NA,"Becker started his college career at Vanderbilt before transferring to Texas Tech. His father, Kevin, was drafted in the 34th round by the Red Sox in 1991 and played three seasons in the Minors.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/678014/headshot/draft/current",TRUE,FALSE,2022,Sunbury,Ohio,USA,Texas Tech,4YR SR,USA,TX,NA,678014,Austin Becker,/api/v1/people/678014,Austin,Becker,NA,1999-09-02,23,Columbus,OH,USA,"6' 5""",215,TRUE,Austin,Becker,Thomas,Becker,M,TRUE,TRUE,2022,Austin Becker,austin-becker-678014,Austin Becker,"Becker, Austin","Becker, A",A Becker,Austin Thomas Becker,"Becker, Austin Thomas",3.575,1.681,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,115,Colorado Rockies,/api/v1/teams/115,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Becker, Austin"
5013163,16,477,11,NA,NA,75000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/805962/headshot/draft/current",TRUE,FALSE,2022,Arlington Heights,Illinois,USA,University of Illinois Springfield,4YR 5S,USA,IL,NA,805962,Quinn Gudaitis,/api/v1/people/805962,Quinn,Gudaitis,NA,1999-04-10,23,Arlington Heights,IL,USA,"6' 7""",225,TRUE,Quinn,Gudaitis,Gallagher,Gudaitis,M,TRUE,TRUE,2022,Quinn Gudaitis,quinn-gudaitis-805962,Quinn Gudaitis,"Gudaitis, Quinn","Gudaitis, Q",Q Gudaitis,Quinn Gallagher Gudaitis,"Gudaitis, Quinn Gallagher",3.756,1.746,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,116,Detroit Tigers,/api/v1/teams/116,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Gudaitis, Quinn"
5004809,16,478,12,NA,NA,125000,NA,"Dana played his first four collegiate seasons at Seton Hall before he transferred to Connecticut. With the Huskies, Dana hit .313 with 21 doubles and 12 home runs in 2022. Dana has two ball players for brothers: Caden is the No. 119 MLB Draft prospect in the ‘22 class per MLB Pipeline, while Cullen was drafted in the 30th round by the Padres in ‘18.","https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/694783/headshot/draft/current",TRUE,FALSE,2022,Montgomery,New York,USA,Connecticut,4YR 5S,USA,CT,NA,694783,Casey Dana,/api/v1/people/694783,Casey,Dana,NA,1999-05-31,23,Goshen,NY,USA,"6' 4""",215,TRUE,Casey,Dana,Patrick,Dana,M,TRUE,TRUE,2022,Casey Dana,casey-dana-694783,Casey Dana,"Dana, Casey","Dana, C",C Dana,Casey Patrick Dana,"Dana, Casey Patrick",3.549,1.627,NA,NA,NA,O,Outfield,Outfielder,OF,R,Right,R,Right,N,108,Los Angeles Angels,/api/v1/teams/108,114,Cactus League,/api/v1/league/114,CL,JR,June Amateur Draft,"Dana, Casey"
5025287,16,479,13,NA,NA,125000,NA,NA,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/w_120,q_auto:best/v1/people/803182/headshot/draft/current",TRUE,FALSE,2022,Chesapeake,Virginia,USA,Duke,4YR SR,USA,NC,NA,803182,Jimmy Loper,/api/v1/people/803182,Jimmy,Loper,NA,1999-11-08,23,Honolulu,HI,USA,"6' 4""",215,TRUE,Jimmy,Loper,Kali'i,Loper,M,TRUE,TRUE,2022,Jimmy Loper,jimmy-loper-803182,Jimmy Loper,"Loper, Jimmy","Loper, J",J Loper,James Kali'i Loper,"Loper, James Kali'i",3.549,1.627,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,N,121,New York Mets,/api/v1/teams/121,115,Grapefruit League,/api/v1/league/115,GL,JR,June Amateur Draft,"Loper, Jimmy"
