SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
94,656222,TB,Jalen,Beeks,,,,,,,,,,,,,,,
95,682051,Det,Garrett,Hill,,,,,,,,,,,,,,,
96,656557,Bos,Tanner,Houck,,,,,,,,,,,,,,,
97,663455,Cle,Konnor,Pilkington,,,,,,,,,,,,,,,
98,657376,NYA,Clarke,Schmidt,,,,,,,,,,,,,,,
99,661309,Oak,Adrian,Martinez,,,,,,,,,,,,,,,
100,678394,Bos,Brayan,Bello,,,,,,,,,,,,,,,
101,672578,KC,CarlosE.,Hernandez,,,,,,,,,,,,,,,
102,641927,Min,Bailey,Ober,,,,,,,,,,,,,,,
103,656412,Det,Alex,Faedo,,,,,,,,,,,,,,,
104,656353,LAA,Tucker,Davidson,,,,,,,,,,,,,,,
105,650633,NYA,Michael,King,,,,,,,,,,,,,,,
106,665621,Det,Rony,Garcia,,,,,,,,,,,,,,,
107,666374,Sea,Matt,Brash,,,,,,,,,,,,,,,
108,681806,LAA,Andrew,Wantz,,,,,,,,,,,,,,,
109,621121,Hou,Lance,McCullers,,,,,,,,,,,,,,,
110,669424,ChA,Jimmy,Lambert,,,,,,,,,,,,,,,
111,663423,Tor,Trent,Thornton,,,,,,,,,,,,,,,
112,666142,Tex,Cole,Ragans,,,,,,,,,,,,,,,
113,666721,KC,Max,Castillo,,,,,,,,,,,,,,,
114,675921,Tex,Spencer,Howard,,,,,,,,,,,,,,,
115,676596,TB,Josh,Fleming,,,,,,,,,,,,,,,
116,686610,Oak,Ken,Waldichuk,,,,,,,,,,,,,,,
117,657508,Bal,Mike,Baumann,,,,,,,,,,,,,,,
118,666214,Det,Joey,Wentz,,,,,,,,,,,,,,,
119,663485,Min,Cole,Sands,,,,,,,,,,,,,,,
120,681217,LAA,Chase,Silseth,,,,,,,,,,,,,,,
121,686973,Min,Louie,Varland,,,,,,,,,,,,,,,
122,657053,Cle,Touki,Toussaint,,,,,,,,,,,,,,,
123,663752,Cle,Cody,Morris,,,,,,,,,,,,,,,
124,622250,Tex,Josh,Sborz,,,,,,,,,,,,,,,
125,686613,Hou,Hunter,Brown,,,,,,,,,,,,,,,
126,672715,TB,Luis,Patino,,,,,,,,,,,,,,,
127,642100,Sea,Gabe,Speier,,,,,,,,,,,,,,,
128,670955,Det,Edwin,Uceta,,,,,,,,,,,,,,,
129,663804,KC,Jackson,Kowar,,,,,,,,,,,,,,,
130,669084,Bal,DL,Hall,,,,,,,,,,,,,,,
131,571510,Det,Matthew,Boyd,,,,,,,,,,,,,,,
132,656232,Hou,Brandon,Bielak,,,,,,,,,,,,,,,
133,666205,Oak,Kyle,Muller,,,,,,,,,,,,,,,
134,656954,Sea,Justus,Sheffield,,,,,,,,,,,,,,,
135,678692,Min,Ronny,Henriquez,,,,,,,,,,,,,,,
136,672582,KC,Angel,Zerpa,,,,,,,,,,,,,,,
137,675540,Cle,Xzavion,Curry,,,,,,,,,,,,,,,
138,607644,Bal,John(out/until/6-23?),Means,,,,,,,,,,,,,,,
139,683769,Cle,Hunter,Gaddis,,,,,,,,,,,,,,,
140,630023,TB,Yonny,Chirinos,,,,,,,,,,,,,,,
141,669935,ChA,A.J.,Alexy,,,,,,,,,,,,,,,
142,607192,TB,Tyler,Glasnow,,,,,,,,,,,,,,,
143,519242,Bos,Chris,Sale,,,,,,,,,,,,,,,
144,680573,Min,Simeon,WoodsRichardson,,,,,,,,,,,,,,,
145,641672,Tor,Thomas,Hatch,,,,,,,,,,,,,,,
146,666619,ChA,Gregory,Santos,,,,,,,,,,,,,,,
147,681867,TB,Cooper,Criswell,,,,,,,,,,,,,,,
148,668834,Sea,Easton,McGee,,,,,,,,,,,,,,,
